학번,성함,성별,이메일,RC,호실,1001,1002,1003,1004,1005,1006,1007,1008,1009,1028
22000071,박연서,F,22000071@handong.edu,장기려,217,23:33:57,,,23:23:03,23:10:43,23:17:46,23:04:20,23:02:58,23:11:25,
22000072,박예나,F,22000072@handong.edu,장기려,217,23:58:47,,,23:17:05,23:09:26,23:12:34,23:39:37,23:29:06,23:59:19,
22000073,박예린,F,22000073@handong.edu,장기려,216,23:52:42,23:52:48,,23:13:07,,23:37:03,23:56:24,23:49:04,23:18:01,
22000074,박예빈,F,22000074@handong.edu,장기려,204,23:47:25,23:38:03,23:27:59,23:44:35,,23:38:47,,,23:02:30,
22000075,박예서,F,22000075@handong.edu,장기려,219,23:52:34,23:37:39,23:45:15,,23:13:51,23:05:48,,23:24:26,23:15:40,
22000076,박예준,M,22000076@handong.edu,장기려,105,23:09:59,23:39:57,23:13:20,,23:23:31,23:35:19,,23:53:58,23:29:22,
22000077,박유나,F,22000077@handong.edu,장기려,203,23:20:51,23:43:56,23:21:16,,23:19:57,23:26:01,,23:14:24,23:29:35,
22000078,박유빈,F,22000078@handong.edu,장기려,208,23:23:43,23:40:13,23:11:03,23:33:14,23:27:52,,,23:31:19,23:45:39,
22000079,박유준,M,22000079@handong.edu,장기려,117,23:10:19,23:24:46,,,23:42:41,23:15:25,,23:09:39,23:23:38,
22000080,박유찬,M,22000080@handong.edu,장기려,120,23:30:32,23:58:02,,,23:05:53,23:08:01,,23:58:17,23:11:23,
22000081,박윤재,M,22000081@handong.edu,장기려,108,23:08:02,23:11:34,,,23:49:22,23:14:45,,23:45:31,23:50:21,
22000082,박윤지,F,22000082@handong.edu,장기려,202,23:06:26,23:41:16,,,23:50:37,23:11:15,,23:35:34,23:25:37,
22000083,박윤호,M,22000083@handong.edu,장기려,101,23:27:42,23:28:55,,,23:11:16,23:21:13,23:00:04,23:06:21,23:33:19,
22000084,박은서,F,22000084@handong.edu,장기려,217,23:09:21,23:07:41,,,23:03:16,23:11:31,23:47:26,23:23:26,23:20:42,
22000085,박은찬,M,22000085@handong.edu,장기려,123,23:00:36,23:10:56,23:04:32,,,23:21:40,23:11:19,23:57:25,23:33:29,
22000086,박은채,F,22000086@handong.edu,장기려,204,23:20:28,23:39:34,23:51:09,,,23:41:00,23:34:51,23:28:42,23:52:54,
22000087,박이준,M,22000087@handong.edu,장기려,121,23:46:59,23:14:42,23:24:41,23:11:24,23:59:34,23:01:49,23:26:51,23:27:36,23:17:45,
22000088,박재민,M,22000088@handong.edu,장기려,102,23:24:26,23:53:21,23:18:40,23:18:42,23:06:59,23:15:26,23:55:28,23:19:35,23:45:16,
22000089,박준혁,M,22000089@handong.edu,장기려,103,23:51:06,23:35:27,23:45:18,23:48:18,23:52:46,23:47:41,23:12:05,23:34:44,23:47:26,
22000090,박지아,F,22000090@handong.edu,장기려,213,23:13:09,23:19:34,23:14:38,23:03:09,23:07:29,23:59:58,23:50:02,23:58:39,23:27:47,
22000091,박지유,F,22000091@handong.edu,장기려,211,23:41:48,23:06:22,23:34:38,23:07:52,23:29:30,23:49:08,23:59:33,23:32:39,23:56:25,
22000092,박지윤,F,22000092@handong.edu,장기려,203,23:37:41,23:51:18,23:29:13,23:24:58,23:14:16,23:32:04,23:00:59,23:54:47,23:03:50,
22000093,박지율,F,22000093@handong.edu,장기려,210,23:35:09,23:46:59,23:38:28,23:50:05,23:38:52,23:52:46,23:21:16,23:03:07,23:26:24,
22000094,박지훈,M,22000094@handong.edu,장기려,120,23:20:41,23:08:21,23:51:38,23:40:05,23:21:30,23:05:06,23:34:38,23:52:48,23:18:23,
22000095,박하린,F,22000095@handong.edu,장기려,220,23:43:16,23:03:30,23:20:28,23:41:12,23:23:46,23:13:14,23:43:52,23:54:22,23:41:18,
22000096,박하영,F,22000096@handong.edu,장기려,216,23:28:00,23:16:31,23:17:17,23:05:48,23:37:44,23:37:53,23:53:54,23:26:10,23:30:49,
22000097,박하율,M,22000097@handong.edu,장기려,114,23:30:59,23:13:09,23:40:29,23:26:41,23:40:34,,,23:45:21,23:56:33,
22000098,박현수,M,22000098@handong.edu,장기려,107,23:39:55,,23:09:24,23:59:28,23:51:42,,,23:44:55,23:45:04,
22000099,박현우,M,22000099@handong.edu,장기려,115,23:55:13,23:02:31,23:48:42,23:04:52,23:57:22,,,23:36:21,23:41:27,
22000100,유강민,M,22000100@handong.edu,장기려,109,23:34:23,23:50:41,23:01:02,23:40:31,23:03:00,,,23:32:16,23:03:24,
22000101,유다은,F,22000101@handong.edu,장기려,213,23:38:40,23:37:54,23:55:17,23:36:42,23:38:16,,,23:33:28,23:19:17,
22000102,유도훈,M,22000102@handong.edu,장기려,101,23:16:57,23:08:36,23:51:58,23:41:51,23:43:02,,,23:32:04,23:38:21,
22000103,유민석,M,22000103@handong.edu,장기려,125,23:18:55,,23:58:24,23:54:04,23:58:38,,,23:04:59,23:16:23,
22000104,유민지,F,22000104@handong.edu,장기려,207,23:28:25,23:38:04,,,23:23:14,,,23:19:34,23:26:57,
22000105,유민혁,M,22000105@handong.edu,장기려,108,23:18:07,23:03:15,23:17:17,23:37:12,23:51:49,,,23:13:58,23:44:01,
22000106,유민호,M,22000106@handong.edu,장기려,102,23:05:19,23:42:37,,,23:57:17,23:45:20,23:23:30,23:18:30,23:40:34,
22000107,유사랑,F,22000107@handong.edu,장기려,214,23:11:55,23:40:58,,,,23:40:39,23:10:02,23:07:11,23:25:21,
22000108,유서아,F,22000108@handong.edu,장기려,223,23:16:22,23:43:19,,,,23:40:38,23:48:13,23:48:04,23:36:39,
22000109,유서은,F,22000109@handong.edu,장기려,209,23:26:14,23:12:49,,,23:35:08,23:13:52,23:19:22,23:45:49,23:06:45,
22000110,유서진,M,22000110@handong.edu,장기려,110,23:05:36,23:19:03,,,23:49:51,23:30:32,23:19:26,23:37:45,23:12:03,
22000111,유소민,F,22000111@handong.edu,장기려,206,23:26:44,23:04:31,,,23:45:39,23:47:29,23:09:36,23:16:24,23:17:40,
22000112,유소윤,F,22000112@handong.edu,장기려,225,23:26:36,23:46:52,,,23:46:48,23:39:22,23:48:40,,23:53:09,
22000113,유소율,F,22000113@handong.edu,장기려,220,23:25:47,23:47:17,,,23:51:21,23:19:05,23:56:31,,23:47:22,
22000114,유수연,F,22000114@handong.edu,장기려,216,23:18:52,23:40:20,,,,23:17:02,23:10:49,,23:16:27,
22000115,유승준,M,22000115@handong.edu,장기려,113,23:21:50,23:02:55,,,23:15:34,23:18:11,23:26:53,,23:06:18,
22000116,유승현,M,22000116@handong.edu,장기려,112,,23:24:41,,,23:47:57,23:49:47,23:50:01,23:07:11,23:59:04,
22000117,유시온,M,22000117@handong.edu,장기려,107,,23:16:50,,,23:37:22,23:46:56,23:13:12,23:28:30,23:41:33,
22000118,유시우,M,22000118@handong.edu,장기려,113,,23:58:49,,,23:38:44,23:37:58,23:21:50,23:26:32,23:41:46,
22000119,유시은,F,22000119@handong.edu,장기려,201,23:07:39,23:02:50,,,23:16:22,23:10:50,23:22:35,23:37:05,23:04:50,
22000120,유시현,M,22000120@handong.edu,장기려,112,23:29:18,23:32:38,,,23:58:05,23:43:21,23:25:01,23:49:14,23:09:00,
22000121,유아인,F,22000121@handong.edu,장기려,208,23:12:16,23:38:11,,,23:49:55,,,23:08:10,23:54:14,
22000122,유연우,F,22000122@handong.edu,장기려,201,,23:52:43,,,23:35:20,,,23:53:37,23:58:27,
22000123,유예림,F,22000123@handong.edu,장기려,214,,23:34:39,,,23:47:23,,,,23:32:58,
22000124,유율,M,22000124@handong.edu,장기려,106,,23:00:46,,,23:10:12,,,,23:30:00,
22000125,유유주,F,22000125@handong.edu,장기려,218,23:05:09,23:10:09,,,23:40:37,23:34:47,23:39:29,23:06:23,23:24:52,
22000126,유윤우,M,22000126@handong.edu,장기려,109,23:03:20,23:14:29,,,23:34:07,23:29:09,23:52:56,23:27:48,23:07:47,
22000127,유은성,M,22000127@handong.edu,장기려,116,,23:39:25,,,23:15:55,23:06:23,23:37:07,23:10:37,23:14:38,
22000128,유이안,M,22000128@handong.edu,장기려,105,,23:19:05,,,23:35:36,23:37:05,23:23:29,23:36:40,23:22:36,
22000129,유재현,M,22000129@handong.edu,장기려,109,23:41:40,23:04:10,23:37:58,23:18:43,23:47:34,,23:45:24,23:48:32,23:39:47,
22000130,유주원,M,22000130@handong.edu,장기려,122,23:20:54,23:33:05,23:29:32,23:48:14,23:47:47,23:40:42,23:20:14,23:37:05,23:41:14,
22000131,유준,M,22000131@handong.edu,장기려,111,23:41:53,23:47:48,23:01:24,23:48:02,23:07:57,23:20:49,23:11:44,23:55:35,23:43:29,
22000132,유준서,M,22000132@handong.edu,장기려,110,23:45:45,23:06:33,23:32:41,23:53:21,23:10:23,23:09:01,23:42:37,23:22:25,23:42:19,
22000133,유준우,M,22000133@handong.edu,장기려,121,23:23:14,23:09:45,23:44:32,23:24:27,23:19:05,23:17:00,23:25:30,23:42:41,23:23:20,
22000134,유지민,M,22000134@handong.edu,장기려,118,23:27:54,23:21:44,23:52:10,23:46:05,23:36:16,23:35:40,23:02:48,23:17:53,23:01:36,
22000135,유지안,F,22000135@handong.edu,장기려,215,23:05:14,23:39:10,23:36:26,23:49:04,23:28:02,23:57:33,23:27:12,23:13:04,23:17:45,
22000136,유지우,M,22000136@handong.edu,장기려,111,23:52:44,23:28:32,23:23:13,23:34:10,23:23:24,23:33:42,23:22:16,23:18:47,23:28:13,
22000137,유지우,F,22000137@handong.edu,장기려,224,23:22:29,23:06:33,23:46:18,23:20:57,23:20:26,23:39:03,23:20:40,23:08:40,23:09:22,
22000138,유지은,F,22000138@handong.edu,장기려,201,23:13:24,23:53:55,23:57:20,23:55:36,23:01:31,23:35:11,23:35:28,23:07:18,23:59:17,
22000139,유채린,F,22000139@handong.edu,장기려,207,23:53:29,23:50:06,23:17:27,,,23:20:01,23:07:30,23:02:40,23:15:10,
22000140,유채윤,F,22000140@handong.edu,장기려,218,23:19:42,23:11:58,23:17:41,23:13:56,23:06:45,23:12:28,,23:24:02,23:54:15,
22000141,유태민,M,22000141@handong.edu,장기려,120,23:37:03,23:39:17,23:40:56,23:14:12,23:23:56,23:32:57,23:31:34,23:19:02,23:03:53,
22000142,유태희,F,22000142@handong.edu,장기려,201,23:26:46,23:56:18,23:58:45,23:58:11,23:15:52,23:11:37,23:42:18,23:52:35,23:20:04,
22000143,유하람,M,22000143@handong.edu,장기려,119,23:13:50,23:42:31,23:19:54,23:22:45,23:38:46,23:28:51,23:13:22,23:51:14,23:51:39,
22000144,유하민,M,22000144@handong.edu,장기려,106,23:34:28,23:19:28,23:54:44,23:13:44,23:09:04,23:33:49,23:11:41,23:55:47,23:35:33,
22000145,유하준,M,22000145@handong.edu,장기려,118,23:46:16,23:05:48,23:12:28,23:00:26,23:26:29,,,23:14:08,23:55:05,
22000146,유하진,M,22000146@handong.edu,장기려,104,23:11:16,23:03:33,23:05:22,23:37:30,23:45:37,23:19:05,23:25:29,23:07:21,23:34:13,
22000147,유혜원,F,22000147@handong.edu,장기려,212,23:20:36,23:56:57,23:28:04,23:44:01,23:58:02,23:51:34,23:53:41,23:24:41,23:03:21,
22000148,이건,M,22000148@handong.edu,장기려,115,23:45:30,23:26:13,23:45:44,23:46:27,23:57:57,23:11:18,23:04:52,23:27:49,23:50:48,
22000149,이규리,F,22000149@handong.edu,장기려,214,23:58:46,23:07:22,23:01:28,23:07:28,23:41:26,23:54:35,23:00:51,23:45:02,23:34:16,
22000150,이규민,M,22000150@handong.edu,장기려,104,23:11:55,23:10:25,23:23:51,23:27:20,23:49:03,23:20:31,23:57:06,23:51:00,23:45:33,
22000151,이나연,F,22000151@handong.edu,장기려,207,23:02:40,23:51:47,23:29:35,23:19:55,23:56:29,23:33:48,23:29:36,23:33:46,23:47:10,
22000152,이나현,F,22000152@handong.edu,장기려,211,23:16:50,23:05:47,23:16:31,23:38:04,23:59:38,23:08:43,23:44:21,23:24:15,23:09:10,
22000153,이다연,F,22000153@handong.edu,장기려,222,23:57:16,23:59:39,23:46:46,23:32:48,23:14:08,23:34:29,23:32:14,23:49:05,23:25:21,
22000154,이다온,F,22000154@handong.edu,장기려,222,23:12:22,23:35:09,23:49:44,23:47:24,23:58:54,23:15:30,23:32:06,23:58:53,23:42:15,
22000155,이다인,F,22000155@handong.edu,장기려,225,23:54:25,23:20:52,23:18:19,23:36:17,23:16:47,23:37:34,23:47:30,23:00:57,23:49:11,
22000156,이다현,F,22000156@handong.edu,장기려,212,23:37:37,23:43:45,23:02:22,23:42:32,23:41:00,23:17:56,23:49:42,23:38:16,23:29:13,
22000157,이도연,F,22000157@handong.edu,장기려,215,23:01:27,23:50:08,23:19:12,23:38:32,23:20:06,23:57:46,23:29:49,23:45:51,23:23:16,
22000158,이민아,F,22000158@handong.edu,장기려,205,23:01:49,23:34:29,23:30:41,23:53:18,23:20:10,23:40:38,23:58:59,23:33:50,23:16:33,
22000159,이민재,M,22000159@handong.edu,장기려,122,23:52:24,23:46:34,23:46:45,23:35:13,23:20:04,23:02:22,23:00:51,23:09:46,23:00:52,
22000160,이서영,F,22000160@handong.edu,장기려,211,23:30:40,23:33:45,23:24:59,23:31:19,23:09:04,23:21:28,23:19:29,23:33:45,23:17:18,
22000161,이서현,F,22000161@handong.edu,장기려,225,23:13:03,23:44:49,23:02:10,23:03:52,23:15:47,23:45:59,23:30:25,23:51:15,23:23:18,
22000162,이성민,M,22000162@handong.edu,장기려,124,23:11:23,23:25:17,23:49:11,23:07:12,23:41:25,23:14:36,23:56:08,23:53:51,23:44:40,
22000163,이소연,F,22000163@handong.edu,장기려,225,23:34:06,23:58:57,23:45:15,23:46:18,23:16:33,23:34:21,23:30:53,23:39:19,23:11:15,
22000164,이소은,F,22000164@handong.edu,장기려,221,23:25:44,23:30:29,23:10:14,23:13:56,23:53:20,23:27:30,23:10:53,23:12:02,23:40:21,
22000165,이수현,F,22000165@handong.edu,장기려,212,23:16:03,23:36:57,23:36:49,23:15:07,23:24:38,23:54:16,23:11:35,23:46:07,23:47:20,
22000166,이수현,M,22000166@handong.edu,장기려,122,23:18:24,23:20:11,23:29:45,23:09:23,23:18:37,23:46:11,23:35:32,23:38:57,23:39:04,
22000167,이승우,M,22000167@handong.edu,장기려,112,23:16:44,23:22:20,23:33:41,23:09:41,23:22:16,23:07:33,23:33:42,23:21:12,23:15:46,
22000168,이시후,M,22000168@handong.edu,장기려,123,23:55:21,23:39:12,23:14:07,23:38:35,23:05:19,23:54:10,23:30:11,23:57:10,23:22:44,
22000169,이아윤,F,22000169@handong.edu,장기려,204,23:43:31,23:36:38,23:45:43,23:44:14,23:57:22,23:11:49,23:36:39,23:13:14,23:44:51,
22000170,이예성,M,22000170@handong.edu,장기려,114,23:43:20,23:48:43,23:23:43,23:42:43,23:38:12,23:12:23,23:18:14,23:42:57,23:00:43,
22000171,이예은,F,22000171@handong.edu,장기려,210,23:31:51,23:22:55,23:50:21,23:05:31,23:28:20,23:51:38,23:35:03,23:12:57,23:53:05,
22000172,이예지,F,22000172@handong.edu,장기려,217,23:44:45,23:05:00,23:25:02,23:45:28,23:27:14,23:21:11,23:28:58,23:10:46,23:44:11,
22000173,이유진,F,22000173@handong.edu,장기려,218,23:42:38,23:51:53,23:31:32,23:51:35,23:59:03,23:52:24,23:38:41,23:00:07,23:09:38,
22000174,이윤서,F,22000174@handong.edu,장기려,223,23:14:27,23:16:57,23:04:55,23:54:29,23:26:36,23:56:22,23:18:52,23:55:44,23:17:05,
22000175,이은우,M,22000175@handong.edu,장기려,115,23:35:24,23:43:06,23:13:15,23:28:38,23:36:22,23:50:31,23:07:17,23:55:13,23:33:23,
22000176,이은호,M,22000176@handong.edu,장기려,110,23:19:44,23:52:58,23:42:26,23:02:15,23:32:06,23:42:34,23:19:33,23:32:42,23:35:40,
22000177,이재원,M,22000177@handong.edu,장기려,101,23:19:01,23:31:16,23:27:49,23:46:40,23:46:43,23:20:38,23:04:54,23:23:09,23:23:44,
22000178,이재윤,M,22000178@handong.edu,장기려,116,23:40:22,23:43:43,23:17:19,23:03:56,23:58:20,23:41:57,23:57:54,23:54:46,23:26:11,
22000179,이정민,M,22000179@handong.edu,장기려,111,23:55:15,23:51:10,23:15:17,23:58:09,23:38:45,23:48:07,23:37:48,23:53:39,23:19:07,
22000180,이정우,M,22000180@handong.edu,장기려,123,23:24:13,23:44:50,23:57:36,23:43:15,23:56:31,23:05:09,23:32:12,23:22:05,23:47:16,
22000181,이정현,M,22000181@handong.edu,장기려,103,23:32:28,23:11:03,23:43:50,23:43:52,23:37:49,23:00:01,23:50:19,23:13:30,23:28:41,
22000182,이주하,F,22000182@handong.edu,장기려,220,23:50:47,23:15:34,23:37:27,23:20:51,23:42:54,23:40:47,23:05:56,23:46:53,23:00:39,
22000183,이준수,M,22000183@handong.edu,장기려,114,23:46:12,23:58:17,23:36:17,23:29:07,23:54:28,23:43:19,23:48:42,23:18:27,23:55:45,
